gs_name,gs_collection,gs_subcollection,gene_symbol,ensembl_gene
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMC6,ENSG00000100519
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMD1,ENSG00000173692
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMD11,ENSG00000108671
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMD12,ENSG00000197170
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMD13,ENSG00000185627
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMD14,ENSG00000115233
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMD2,ENSG00000175166
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMD3,ENSG00000108344
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMD6,ENSG00000163636
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMD7,ENSG00000103035
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMD8,ENSG00000099341
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,RBX1,ENSG00000100387
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,RPS27A,ENSG00000143947
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,SEM1,ENSG00000127922
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,UBA52,ENSG00000221983
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,UBB,ENSG00000170315
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,UBC,ENSG00000150991
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,UBE2D1,ENSG00000072401
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,UBE2D2,ENSG00000131508
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,UBE2D3,ENSG00000109332
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,VEGFA,ENSG00000112715
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,VHL,ENSG00000134086
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,WTIP,ENSG00000142279
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR,C2,CP:REACTOME,ARNT,ENSG00000143437
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR,C2,CP:REACTOME,CA9,ENSG00000107159
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR,C2,CP:REACTOME,CITED2,ENSG00000164442
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR,C2,CP:REACTOME,CREBBP,ENSG00000005339
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR,C2,CP:REACTOME,EP300,ENSG00000100393
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR,C2,CP:REACTOME,EPAS1,ENSG00000116016
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR,C2,CP:REACTOME,EPO,ENSG00000130427
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR,C2,CP:REACTOME,HIF1A,ENSG00000100644
